公司,名称,地址,学历,福利,经验,职位类型,薪资
 南京考越教育文化有限公司 ,会计, 江浦街道 ,大专,"五险一金,周末双休,房补,交通补助,饭补",6-7年,会计/会计师,4000-5000
 江苏省鑫达财务咨询有限公司 ,会计/会计师, 江浦街道 ,不限,"五险一金,周末双休,交通补助",不限,会计/会计师,3000-5000
 南京苏豪种业有限公司 ,会计, 江浦街道 ,不限,加班补助,不限,会计/会计师,3000-5000
 南京东一物流有限公司 ,会计/会计师, 江浦街道 ,不限,周末双休,不限,会计/会计师,3000-5000
 南京丰禹食品有限公司 ,会计, 江浦街道 ,大专,"五险一金,加班补助",1-2年,会计/会计师,4000-4500
 南京中弘建筑装饰工程有限公司 ,急招会计, 江浦街道 ,大专,"周末双休,五险一金",不限,会计/会计师,面议
 南京骑贝商贸有限公司 ,会计, 江浦街道 ,大专,"五险一金,加班补助",3-5年,会计/会计师,5000-8000
 江苏东风南方汽车销售服务有限… ,会计五险一金双薪工作餐, 江浦街道 ,大专,"五险一金,包吃,加班补助",不限,会计/会计师,4000-5000
 南京双鹏橱柜有限公司 ,会计, 江浦街道 ,不限,,不限,会计/会计师,3000-5000
 南京建络贸易有限公司 ,会计, 江浦街道 ,大专,"包吃,周末双休",1-2年,会计/会计师,3000-5000
 南京开景建设工程有限公司 ,会计, 江浦街道 ,大专,,6-7年,会计/会计师,4000-5000
 南京智邦科技发展有限公司 ,会计, 江浦街道 ,不限,"五险一金,周末双休,饭补",3-5年,会计/会计师,4000-5000
 江苏悦华养老服务有限公司 ,会计, 江浦街道 ,大专,"包吃,五险一金",3-5年,会计/会计师,4000-6000
 南京惠捷环境科技有限公司 ,会计, 江浦街道 ,不限,"五险一金,话补,加班补助",3-5年,会计/会计师,3500-5000
 南京创为企业管理有限公司 ,外勤会计周末双休, 江浦街道 ,不限,"周末双休,交通补助,加班补助,饭补,五险一金",不限,会计/会计师,2500-4000
 南京秦淮河建设开发有限公司 ,综合会计岗, 江浦街道 ,本科,"周末双休,饭补",6-7年,会计/会计师,6666-10000
 南京广识文化发展有限公司 ,会计, 江浦街道 ,大专,"包吃,周末双休",不限,会计/会计师,面议
 南京市江宁区圆伴零食店 ,会计/会计师, 江浦街道 ,不限,"包吃,房补,饭补,加班补助",不限,会计/会计师,5000-8000
 南京阆苑物流有限公司 ,会计, 江浦街道 ,高中,"五险一金,包吃,周末双休,话补,交通补助",1-2年,会计/会计师,面议
 南京闫之有味餐饮管理有限公司 ,会计, 江浦街道 ,大专,"包吃,包住,周末双休",3-5年,会计/会计师,面议
 南京云谷供应链管理有限公司 ,往来会计, 江浦街道 ,大专,五险一金,不限,会计/会计师,4000-6000
 南京欧飞财务咨询有限公司 ,会计/会计师, 江浦街道 ,不限,"五险一金,周末双休",不限,会计/会计师,面议
 南京向阳工贸有限公司 ,会计, 江浦街道 ,本科,"五险一金,包住,包吃,年底双薪,交通补助",不限,会计/会计师,3000-5000
 南京百诚财务管理有限公司 ,会计/会计师, 江浦街道 ,不限,"五险一金,包吃,周末双休",不限,会计/会计师,面议
 南京华远储运有限公司 ,会计/会计师, 江浦街道 ,大专,五险一金,3-5年,会计/会计师,3000-5000
 中铁国华财务咨询江苏有限公司 ,会计, 江浦街道 ,本科,"五险一金,周末双休,年底双薪,加班补助",不限,会计/会计师,面议
 南京市浦口区暖春科技信息咨询… ,会计, 江浦街道 ,不限,周末双休,不限,会计/会计师,3000-6000
 江苏拼搏者企业管理有限公司 ,会计, 江浦街道 ,大专,"五险一金,周末双休",1年以下,会计/会计师,3000-5000
 南京永华汽车检测服务有限公司 ,专职会计或财务, 江浦街道 ,大专,"加班补助,五险一金",6-7年,会计/会计师,面议
 南京中榜集成房屋科技有限公司 ,会计, 江浦街道 ,不限,周末双休,不限,会计/会计师,面议
 南京支点建设工程有限公司 ,出纳, 江浦街道 ,不限,"五险一金,包吃,周末双休",不限,会计/会计师,面议
 南京杰宁商贸有限公司 ,会计, 五塘广场 ,大专,"五险一金,包吃",3-5年,会计/会计师,4500-5000
 南京剪艺剪信息科技有限公司 ,注会会计会计代账助理, 五塘广场 ,大专,"周末双休,交通补助,加班补助,五险一金,包住",3-5年,会计/会计师,4000-8000
 南京京国投餐饮管理有限公司 ,会计, 五塘广场 ,大专,"五险一金,饭补,包住,话补",6-7年,会计/会计师,6000-8000
 南京市浦口区暖春科技信息咨询… ,总账会计, 五塘广场 ,不限,周末双休,不限,会计/会计师,4000-6000
 江苏泛联金控建设有限公司 ,会计, 五塘广场 ,本科,五险一金,1-2年,会计/会计师,面议
 南京奋发会计事务代理有限责任… ,总账会计, 五塘广场 ,不限,"五险一金,周末双休",3-5年,会计/会计师,3000-5000
 南京中财云企业管理有限公司 ,会计, 五塘广场 ,大专,"五险一金,周末双休,交通补助",3-5年,会计/会计师,3000-6000
 南京中财云企业管理有限公司 ,外勤会计, 五塘广场 ,不限,"五险一金,周末双休,交通补助",1-2年,会计/会计师,3000-6000
 南京中财云企业管理有限公司 ,实习会计, 五塘广场 ,不限,,不限,会计/会计师,1000-1500
 南京景程招标代理有限公司 ,总账会计, 五塘广场 ,本科,周末双休,1-2年,会计/会计师,面议
 南京坤江化工有限公司 ,会计/会计师, 五塘广场 ,不限,"周末双休,年底双薪,话补,交通补助,饭补",不限,会计/会计师,面议
 江苏茂源汽车销售服务有限公司 ,会计, 五塘广场 ,大专,,3-5年,会计/会计师,面议
 江苏金志扬建设工程有限公司 ,会计, 五塘广场 ,本科,"五险一金,周末双休,年底双薪,交通补助",3-5年,会计/会计师,面议
 南京博苑望景保育服务有限公司 ,会计, 五塘广场 ,本科,"五险一金,周末双休",不限,会计/会计师,面议
 南京德雷士食品有限公司 ,会计, 五塘广场 ,本科,包吃,不限,会计/会计师,4500-5500
 南京东睦粉末冶金有限公司 ,总账会计, 五塘广场 ,本科,"五险一金,交通补助,加班补助,周末双休",不限,会计/会计师,面议
 南京呗斯特城市环境工程有限公司 ,会计, 五塘广场 ,大专,"周末双休,交通补助,饭补",1-2年,会计/会计师,3000-6000
 南京昌亚食品有限公司 ,会计, 五塘广场 ,大专,五险一金,不限,会计/会计师,面议
 南京普天蓝木业有限公司 ,会计, 五塘广场 ,大专,"包吃,包住",1-2年,会计/会计师,面议
 南京涵昊电子科技有限公司 ,会计, 五塘广场 ,不限,周末双休,不限,会计/会计师,面议
 南京昊天玻璃科技有限公司 ,会计文员, 五塘广场 ,大专,"五险一金,包吃,包住,话补",1-2年,会计/会计师,4000-4500
 江苏龙在湖旅游度假区有限公司 ,会计, 五塘广场 ,大专,,3-5年,会计/会计师,面议
 南京爱多多妇幼保健有限责任公司 ,全职会计, 五塘广场 ,大专,"加班补助,包住",3-5年,会计/会计师,4000-6000
 南京舒佳捷出租汽车有限责任公司 ,财务经理/主管, 五塘广场 ,大专,"五险一金,周末双休,年底双薪,饭补",6-7年,会计/会计师,面议
 南京市秦淮区牧易心理咨询工作室 ,会计, 五塘广场 ,不限,,不限,会计/会计师,面议
 江苏泛联金控建设有限公司 ,会计, 五塘广场 ,不限,五险一金,不限,会计/会计师,面议
 南京捷沃清洗服务有限公司 ,会计, 五塘广场 ,不限,"五险一金,话补,交通补助,饭补,加班补助",1-2年,会计/会计师,3000-5000
 南京追光人文化传媒有限公司 ,会计, 五塘广场 ,本科,包吃,1年以下,会计/会计师,面议
 南京千森节能科技有限公司 ,会计, 五塘广场 ,大专,,1-2年,会计/会计师,3000-4500
 南京安吉特矿山 ,总账会计+5年经验, 五塘广场 ,本科,"包吃,加班补助,年底双薪,包住,五险一金",3-5年,会计/会计师,面议
 南京浍牛食品有限公司 ,会计, 五塘广场 ,不限,,不限,会计/会计师,3000-5000
 嘉泽保险代理有限公司江苏分公司 ,财务会计出纳, 五塘广场 ,大专,五险一金,1-2年,会计/会计师,面议
 广州市金湘悦餐饮有限公司 ,财务会计8小时单休, 五塘广场 ,不限,"五险一金,包住,包吃,年底双薪,周末双休",不限,会计/会计师,6000-8000
 南京论雄酒业有限公司 ,聘总账会计, 五塘广场 ,大专,"包吃,年底双薪,交通补助,饭补,话补",3-5年,会计/会计师,4000-6000
 南京金达豪商贸有限公司 ,急召有工作经验的会计人员, 五塘广场 ,不限,加班补助,不限,会计/会计师,面议
 苏州*建筑集团有限公司南京分… ,会计主管, 建邺万… ,大专,"五险一金,包吃,周末双休",不限,会计/会计师,10000-15000
 苏州*建筑集团有限公司南京分… ,会计, 建邺万… ,大专,"五险一金,包吃,周末双休",不限,会计/会计师,3000-5000
 南京寿佰莲餐饮管理有限公司 ,办公室会计, 建邺万… ,大专,"求职保障,包住,包吃,交通补助,加班补助",不限,会计/会计师,4000-5500
 南京科赛斯新材料有限公司 ,会计, 建邺万… ,本科,,3-5年,会计/会计师,面议
 南京中天企业管理有限公司 ,会计/会计师, 建邺万… ,不限,"五险一金,周末双休",不限,会计/会计师,面议
 南京合奥汽车配件有限公司 ,会计, 建邺万… ,大专,"饭补,加班补助,五险一金",不限,会计/会计师,4000-5000
 南京安九物流有限公司 ,会计, 建邺万… ,大专,包吃,3-5年,会计/会计师,4000-5000
 南京邦仁人力资源有限公司 ,会计, 建邺万… ,大专,"五险一金,包吃",3-5年,会计/会计师,2020-4000
 江苏长菱汽车集团有限公司 ,总帐会计, 建邺万… ,大专,,1-2年,会计/会计师,5300-7000
 南京安茂建材有限公司 ,会计, 建邺万… ,大专,"包吃,房补,加班补助",3-5年,会计/会计师,5000-7000
 南京欧飞财务咨询有限公司 ,诚招总账会计双休, 建邺万… ,不限,"周末双休,交通补助,饭补",不限,会计/会计师,3000-6000
 易企通财务管理（南京）有限公司 ,代账会计, 建邺万… ,不限,"周末双休,加班补助,五险一金",3-5年,会计/会计师,4500-6000
 南京惠邦塑胶有限公司 ,会计, 建邺万… ,大专,饭补,1-2年,会计/会计师,5000-6000
 南京市六合区红车西饼店 ,会计, 建邺万… ,大专,"五险一金,饭补",6-7年,会计/会计师,5000-8000
 南京派盈装饰材料有限公司 ,会计, 建邺万… ,不限,"五险一金,包吃,包住",不限,会计/会计师,4500-8000
 南京晟广艺文化传媒有限公司 ,会计, 建邺万… ,不限,,不限,会计/会计师,3000-5000
 南京晶明塑料装饰材料有限公司 ,会计, 建邺万… ,不限,"交通补助,饭补",不限,会计/会计师,3000-3500
 南京瑞祥房屋拆除工程有限公司 ,全职会计, 建邺万… ,大专,"五险一金,包吃",3-5年,会计/会计师,面议
 江苏盖之宝包装科技有限公司 ,会计, 建邺万… ,不限,"包住,包吃,加班补助",1-2年,会计/会计师,面议
 南京晟华财务咨询有限公司 ,代账会计, 建邺万… ,大专,"五险一金,周末双休",1-2年,会计/会计师,3500-4500
 南京市浦口区恒江电器服务中心 ,会计, 建邺万… ,不限,"五险一金,周末双休",不限,会计/会计师,面议
 南京派德尚汽车维修服务有限公司 ,会计, 建邺万… ,中专,"周末双休,饭补",6-7年,会计/会计师,面议
 南京阿尔托雷贸易有限公司 ,会计一句容正阳汽配城, 建邺万… ,不限,"五险一金,年底双薪,包住,包吃",不限,会计/会计师,3500-7000
 南京市江宁区妍夫人皮草店 ,会计/会计师, 建邺万… ,不限,,不限,会计/会计师,3000-5000
 南京永蚨祥建设工程有限公司 ,会计, 建邺万… ,不限,,不限,会计/会计师,3000-5000
 南京奔腾钢结构有限公司 ,会计, 建邺万… ,不限,包吃,1-2年,会计/会计师,面议
 南京盛世纵横市政工程有限公司 ,会计, 建邺万… ,大专,,3-5年,会计/会计师,面议
 江苏聿乾建筑有限公司 ,会计, 建邺万… ,不限,五险一金,3-5年,会计/会计师,面议
 南京大掌柜财务管理咨询有限公司 ,2020年会计实习生, 建邺万… ,大专,"五险一金,年底双薪,周末双休",不限,会计/会计师,面议
 南京铂域网络工程有限公司 ,会计, 建邺万… ,不限,"五险一金,周末双休,饭补,加班补助",3-5年,会计/会计师,面议
 南京顺泽通讯工程有限公司 ,会计, 建邺万… ,不限,"包吃,周末双休",不限,会计/会计师,3000-5000
 南京超妍美容李林峰湖南路特许… ,会计, 建邺万… ,不限,"五险一金,包吃,包住",不限,会计/会计师,3500-4000
 南京市玄武区帮你忙财务信息咨… ,会计/会计师, 建邺万… ,不限,,不限,会计/会计师,面议
 南京宏岩进出口有限公司 ,会计, 建邺万… ,大专,,1-2年,会计/会计师,面议
 南京谦君基础工程有限公司 ,会计/会计师, 建邺万… ,不限,"五险一金,饭补",不限,会计/会计师,面议
 江苏谛星龙建筑科技有限公司 ,会计/会计师, 谷里 ,本科,,1-2年,会计/会计师,3000-5000
 南京恒盟货物运输有限公司 ,会计, 谷里 ,大专,周末双休,不限,会计/会计师,面议
 南京宁信源建筑劳务有限公司 ,诚聘前台接待, 谷里 ,大专,"年底双薪,包吃,包住",1年以下,会计/会计师,面议
 南京乔欧企业管理有限公司 ,会计/会计师, 谷里 ,不限,周末双休,不限,会计/会计师,3000-5000
 南京创饰美装饰材料有限公司 ,上访/诚聘总账会计/面议, 谷里 ,不限,"五险一金,包吃,加班补助",1-2年,会计/会计师,5000-7000
 南京青春财务顾问有限公司 ,总账会计, 谷里 ,不限,周末双休,3-5年,会计/会计师,面议
 江苏硕华建设有限公司 ,现金会计, 谷里 ,大专,加班补助,1-2年,会计/会计师,面议
 南京家家赢水产有限公司 ,会计/会计师, 谷里 ,不限,,不限,会计/会计师,3000-5000
 安徽省亳州市药材总公司 ,会计, 谷里 ,大专,"五险一金,周末双休,话补,饭补,加班补助",1-2年,会计/会计师,面议
 南京永华旧机动车交易市场管理… ,会计, 谷里 ,大专,"包吃,包住",3-5年,会计/会计师,3500-5000
 中天建设集团有限公司 ,会计/会计师, 谷里 ,不限,,不限,会计/会计师,面议
 南京同旭暖通工程有限公司 ,财务, 谷里 ,不限,"五险一金,话补,年底双薪,周末双休,加班补助",不限,会计/会计师,3500-4500
 南京仁爱钢构彩板有限公司 ,会计, 谷里 ,不限,"包吃,饭补",1年以下,会计/会计师,3000-5000
 南京首各科技有限公司 ,现金会计, 谷里 ,大专,周末双休,1-2年,会计/会计师,面议
 南京华勇建筑工程有限公司 ,会计, 谷里 ,不限,,不限,会计/会计师,5000-10000
 南京圣知锐建材实业有限公司 ,会计/审计, 谷里 ,大专,"包吃,包住",3-5年,会计/会计师,6000-8000
 南京玉源财务管理有限公司 ,会计/会计师, 谷里 ,不限,五险一金,不限,会计/会计师,面议
 南京大掌柜财务管理咨询有限公司 ,2020年会计实习生招聘, 谷里 ,大专,"年底双薪,周末双休,五险一金,交通补助,加班补助",不限,会计/会计师,面议
 南京闫之有味餐饮管理有限公司 ,会计, 谷里 ,不限,"包吃,年底双薪,加班补助",1-2年,会计/会计师,4000-5000
 南京衡度财务管理咨询有限公司 ,会计, 谷里 ,不限,"五险一金,周末双休",不限,会计/会计师,4000-5000
 南京超味食品有限公司 ,会计, 谷里 ,不限,,不限,会计/会计师,3000-5000
 南京大掌柜财务管理咨询有限公司 ,2020会计招聘, 谷里 ,大专,"年底双薪,周末双休",不限,会计/会计师,面议
 南京恒铭建材有限公司 ,会计, 谷里 ,本科,"话补,交通补助,饭补",3-5年,会计/会计师,3000-5000
 南京轲络商贸有限公司 ,会计/会计师, 谷里 ,不限,,不限,会计/会计师,6000-8000
 南京佑越婷医院管理有限公司 ,会计, 谷里 ,不限,"五险一金,包住,饭补",1-2年,会计/会计师,4000-8000
 南京市浦口区思越会计服务中心 ,会计学徒, 谷里 ,不限,,不限,会计/会计师,2000-3500
 南京国美文化传播有限公司 ,会计/会计师, 谷里 ,不限,"五险一金,饭补,加班补助",不限,会计/会计师,3000-5000
 南京大锅饭饮食服务有限公司 ,诚招会计高薪, 谷里 ,不限,"包吃,包住,加班补助,饭补,交通补助",不限,会计/会计师,面议
 江苏八强工程项目管理咨询有限… ,总账会计, 谷里 ,大专,,6-7年,会计/会计师,4500-5000
 南京泷泽财务有限公司 ,招聘会计, 谷里 ,大专,"周末双休,交通补助,话补,饭补,年底双薪",3-5年,会计/会计师,面议
 南京双舟贸易有限公司 ,会计员, 谷里 ,不限,"包住,包吃",不限,会计/会计师,面议
 南京慧发会计服务有限公司 ,诚聘会计包吃法定休, 谷里 ,大专,"包吃,交通补助,加班补助,饭补",1-2年,会计/会计师,面议
 杭州华运国际旅行社有限公司南… ,会计, 谷里 ,大专,"包住,年底双薪,房补,话补,交通补助",不限,会计/会计师,4000-6000
 南京采之鑫财务管理有限公司 ,财务会计, 谷里 ,大专,周末双休,不限,会计/会计师,面议
 南京奋发企业管理有限公司 ,会计, 谷里 ,不限,五险一金,不限,会计/会计师,4000-5000
 南京越洋初级农产品销售有限公司 ,会计/会计师, 西善桥 ,不限,五险一金,不限,会计/会计师,3000-5000
 南京越洋初级农产品销售有限公司 ,会计, 西善桥 ,不限,,不限,会计/会计师,面议
 南京汇则税务师事务所（普通合… ,会计大四实习生, 西善桥 ,大专,"周末双休,交通补助,饭补,话补",不限,会计/会计师,面议
 南京昶邺建材有限公司 ,会计, 西善桥 ,不限,五险一金,不限,会计/会计师,4000-6000
 南京道兴交通工程有限公司 ,会计, 西善桥 ,不限,"五险一金,包吃,包住,周末双休,话补",不限,会计/会计师,3000-5000
 江苏大唐电气科技有限公司乐清… ,会计, 西善桥 ,中专,五险一金,3-5年,会计/会计师,3500-4000
 中建国锋（海南）建设集团江苏… ,会计, 西善桥 ,不限,,不限,会计/会计师,面议
 南京市江宁区蓝天劳保用品销售… ,会计/会计师, 西善桥 ,大专,"五险一金,周末双休,饭补",3-5年,会计/会计师,3500-4500
 南京从清太和文化传播有限公司 ,招聘会计+五险+吃住, 西善桥 ,不限,"五险一金,包吃,包住",不限,会计/会计师,4000-8000
 南京鹤壁天海电器销售有限公司 ,总账会计, 西善桥 ,本科,"五险一金,饭补,包住,年底双薪,交通补助",3-5年,会计/会计师,6000-7000
 双轮泵业南京销售有限公司 ,会计, 西善桥 ,大专,"五险一金,周末双休",3-5年,会计/会计师,4000-5000
 和县明发江湾大酒店有限公司 ,酒店直招总账会计高薪, 西善桥 ,大专,"包吃,包住",1-2年,会计/会计师,面议
 南京玛吉特新型建材有限公司 ,会计, 西善桥 ,不限,"五险一金,包住",不限,会计/会计师,5000-6000
 南京意扬雨花石有限公司 ,会计, 西善桥 ,大专,"五险一金,包吃,周末双休",3-5年,会计/会计师,面议
 南京市玄武区隋香敏餐厅 ,总账会计, 西善桥 ,大专,"五险一金,包吃,周末双休",3-5年,会计/会计师,面议
 南京绿磊装饰材料有限公司 ,会计, 西善桥 ,不限,"五险一金,包吃",不限,会计/会计师,面议
 南京博思扬科技发展有限公司 ,仓库管理兼会计, 西善桥 ,大专,"五险一金,话补,饭补",3-5年,会计/会计师,5000-6000
 南京君之强建筑工程有限公司 ,会计, 西善桥 ,大专,,3-5年,会计/会计师,3000-5000
 南京瑞程达建材有限公司 ,会计/会计师, 西善桥 ,中专,,3-5年,会计/会计师,5000-7000
 南京江宁麒泽门诊部有限公司 ,会计/会计师, 西善桥 ,大专,"五险一金,包住,饭补,加班补助",3-5年,会计/会计师,面议
 南京龙瑞财务咨询有限公司 ,实习会计高薪1年经验, 西善桥 ,不限,周末双休,不限,会计/会计师,面议
 南京龙瑞财务咨询有限公司 ,实习会计, 西善桥 ,不限,,不限,会计/会计师,面议
 南京青草地环保科技有限责任公司 ,会计实习, 西善桥 ,大专,,不限,会计/会计师,面议
 江苏霆峰建设工程有限公司 ,总账会计 出纳会计, 西善桥 ,本科,"五险一金,包吃,包住,房补,交通补助",1-2年,会计/会计师,面议
 南京蘭武立荣园林工程有限公司 ,会计, 西善桥 ,高中,,3-5年,会计/会计师,3000-5000
 宁盐府家味餐饮管理南京有限公司 ,会计, 西善桥 ,本科,周末双休,1年以下,会计/会计师,面议
 南京德莱金财务咨询有限公司 ,会计助理, 西善桥 ,不限,"五险一金,周末双休,年底双薪,交通补助,饭补",不限,会计/会计师,4400-5500
 南京珠联财务管理有限公司 ,会计/会计师, 西善桥 ,不限,"五险一金,年底双薪,加班补助",不限,会计/会计师,面议
 南京豪锐物业有限公司 ,会计, 西善桥 ,不限,包吃,不限,会计/会计师,面议
 南京益家一百商业管理有限公司 ,会计, 西善桥 ,大专,包住,不限,会计/会计师,面议
 南京市秦淮区恒义昊酒业销售中心 ,会计, 西善桥 ,大专,"五险一金,包吃,话补",不限,会计/会计师,3000-5000
 杭州七杰网络科技有限公司 ,汽车租赁公司会计, 西善桥 ,大专,五险一金,不限,会计/会计师,6000-10000
 江苏省鑫达财务咨询有限公司 ,会计, 西善桥 ,不限,"五险一金,周末双休,交通补助",3-5年,会计/会计师,3000-5000
 南京步云轩装饰工程有限公司 ,会计, 西善桥 ,不限,"五险一金,话补,交通补助,饭补",不限,会计/会计师,面议
 南京新来机械设备有限公司 ,会计, 西善桥 ,中专,周末双休,不限,会计/会计师,面议
 南京中泰消防设备有限公司 ,总账会计, 浦口区 ,不限,"五险一金,包住,饭补",不限,会计/会计师,面议
 江苏轩颖交通科技有限公司 ,材料会计, 浦口区 ,大专,"五险一金,包吃,周末双休",1-2年,会计/会计师,面议
 里歌智能科技（上海）有限公司 ,会计, 浦口区 ,大专,"五险一金,包住,话补,交通补助,加班补助",不限,会计/会计师,3000-5000
 南京卡米林商贸有限公司 ,会计, 浦口区 ,不限,,不限,会计/会计师,面议
 南京市秦淮区银百祥饰品店 ,流水账会计, 浦口区 ,不限,,不限,会计/会计师,3500-5000
 南京美欣交通材料有限公司 ,会计, 浦口区 ,本科,,10年以上,会计/会计师,面议
 江苏尚徐餐饮管理有限公司 ,会计, 浦口区 ,不限,"包吃,包住",不限,会计/会计师,3000-5000
 南京稼禾建设工程有限公司 ,会计, 浦口区 ,不限,,不限,会计/会计师,3000-5000
 南京吉奥达科技有限公司 ,会计/会计师, 浦口区 ,大专,"五险一金,周末双休,饭补",3-5年,会计/会计师,5000-6000
 南京蚂蚁旅游发展有限公司 ,会计, 浦口区 ,不限,"包吃,包住,加班补助",3-5年,会计/会计师,面议
 南京市玄武区奥彩企业管理咨询… ,实习会计, 浦口区 ,不限,"五险一金,周末双休",不限,会计/会计师,面议
 南京昂达市政工程有限公司 ,会计, 浦口区 ,大专,"五险一金,包吃,周末双休,年底双薪,话补",3-5年,会计/会计师,面议
 南京昂达市政工程有限公司 ,建筑会计, 浦口区 ,大专,"五险一金,包吃,周末双休,年底双薪,话补",3-5年,会计/会计师,面议
 南京罗金科技有限公司 ,会计, 浦口区 ,本科,"周末双休,加班补助",不限,会计/会计师,面议
 南京市江宁区博亿企业管理信息… ,急聘会计3年经验, 浦口区 ,本科,"饭补,话补,周末双休,交通补助,加班补助",3-5年,会计/会计师,5000-10000
 南京市秦淮区谭氏鸭血火锅店 ,谭鸭血老火锅聘会计, 浦口区 ,不限,"包吃,包住,年底双薪,话补,饭补",1-2年,会计/会计师,3700-4500
 南京彦平财务咨询有限公司 ,招聘会计 急招, 浦口区 ,大专,"五险一金,周末双休,年底双薪,饭补",3-5年,会计/会计师,面议
 南京华成厨具有限公司 ,有会计职称会计+有经验, 浦口区 ,不限,周末双休,3-5年,会计/会计师,面议
 南京鸿宇物业管理有限公司 ,会计, 浦口区 ,大专,"五险一金,周末双休",3-5年,会计/会计师,4000-6000
 南京聚太科技发展有限公司 ,会计, 浦口区 ,大专,"五险一金,饭补",不限,会计/会计师,3000-5000
 南京铁马汽配有限公司 ,会计, 浦口区 ,大专,"包吃,加班补助",1-2年,会计/会计师,5000-7000
 南京金展铝业有限公司 ,会计, 浦口区 ,不限,加班补助,不限,会计/会计师,3000-5000
 南京鸿宇物业管理有限公司 ,会计/出纳, 浦口区 ,大专,"五险一金,周末双休",1-2年,会计/会计师,3500-6000
 南京帝禾企业管理顾问有限公司 ,代账会计主管, 浦口区 ,大专,"五险一金,周末双休,交通补助,饭补,加班补助",1-2年,会计/会计师,面议
 南京恒瑞财务咨询有限公司 ,代账会计, 浦口区 ,不限,"五险一金,周末双休,饭补",1-2年,会计/会计师,3000-5000
 南京帝禾企业管理顾问有限公司 ,代账会计主管, 浦口区 ,大专,"周末双休,交通补助,饭补,五险一金",3-5年,会计/会计师,面议
 南京深业建材有限公司 ,会计出纳, 浦口区 ,大专,交通补助,3-5年,会计/会计师,面议
 南京九星财务管理顾问有限公司 ,诚聘会计周末双休, 浦口区 ,不限,周末双休,不限,会计/会计师,3000-4000
 上海程双建筑工程有限公司 ,会计, 浦口区 ,高中,"包吃,包住",不限,会计/会计师,3000-5000
 南京迪科达装饰工程有限公司 ,高薪急招财务出纳/大专, 浦口区 ,大专,"加班补助,交通补助,五险一金",1-2年,会计/会计师,3000-5000
 南京美标五金电器有限公司 ,会计/会计师, 浦口区 ,不限,,不限,会计/会计师,3000-5000
 江苏汇丰农机有限公司 ,会计, 浦口区 ,不限,"五险一金,周末双休,年底双薪,饭补",不限,会计/会计师,面议
 南京华顶酒店管理有限公司 ,会计, 浦口区 ,不限,周末双休,不限,会计/会计师,面议
 南京达力特挤出机械有限公司 ,会计, 浦口区 ,大专,,6-7年,会计/会计师,面议
 南京市秦淮区丹特斯建材销售中心 ,会计/会计师, 浦口区 ,不限,"五险一金,周末双休,年底双薪",不限,会计/会计师,面议
 江苏莱兴医疗科技有限公司 ,会计, 铁心桥 ,中专,"五险一金,年底双薪,话补",1-2年,会计/会计师,4000-6000
 南京创赢未来创客空间有限公司 ,会计, 铁心桥 ,不限,周末双休,不限,会计/会计师,3000-5000
 南京树企财务管理咨询有限公司 ,实习会计做账会计, 铁心桥 ,大专,"交通补助,周末双休,饭补",1年以下,会计/会计师,2500-5000
 南京军歌餐饮管理有限公司 ,财务会计高薪2年经验, 铁心桥 ,本科,"包吃,包住",3-5年,会计/会计师,6000-8000
 江苏蒙建建设有限公司 ,建筑总账会计, 铁心桥 ,不限,"周末双休,交通补助,饭补",不限,会计/会计师,面议
 南京火凤翼彩文化传播有限公司 ,会计, 铁心桥 ,大专,"五险一金,加班补助",不限,会计/会计师,5000-7000
 南京浦绿康洁环境卫生管理有限… ,财务会计, 铁心桥 ,大专,"饭补,话补",1-2年,会计/会计师,5000-6000
 南京聚梦医疗美容有限公司 ,总账会计, 铁心桥 ,不限,"包住,交通补助,饭补,加班补助,五险一金",不限,会计/会计师,面议
 南京创友财税管理有限公司 ,会计, 铁心桥 ,不限,"五险一金,周末双休,年底双薪,话补,交通补助",不限,会计/会计师,4000-6000
 南京携手工商代理有限公司 ,会计实习生, 铁心桥 ,大专,"五险一金,周末双休",不限,会计/会计师,1500-2500
 南京佺友机械工程有限公司 ,出纳兼统计, 铁心桥 ,大专,"五险一金,周末双休,年底双薪",1-2年,会计/会计师,3500-5000
 南京天翠福贸易有限公司 ,会计, 铁心桥 ,本科,,1-2年,会计/会计师,3000-5000
 合肥居润建筑工程安装有限公司 ,主办会计, 铁心桥 ,大专,"五险一金,年底双薪,包吃,包住",1-2年,会计/会计师,5000-8000
 南京中全人力资源有限公司 ,开发区出纳, 铁心桥 ,不限,"求职保障,包吃,年底双薪,交通补助,话补,饭补",不限,会计/会计师,面议
 南京步鑫投资管理有限公司 ,会计, 铁心桥 ,大专,"五险一金,周末双休,交通补助",3-5年,会计/会计师,3500-5000
 南京市江宁区妍夫人皮草店 ,会计, 铁心桥 ,不限,,不限,会计/会计师,面议
 南京市栖霞区鸽味轩粤菜馆 ,餐饮会计, 铁心桥 ,不限,"包吃,饭补,周末双休,交通补助",3-5年,会计/会计师,6000-8000
 南京市栖霞区燕子矶联珠烟酒店 ,会计/会计师, 铁心桥 ,不限,,不限,会计/会计师,面议
 江苏佰岁通源健康管理有限公司 ,会计, 铁心桥 ,大专,"五险一金,周末双休",不限,会计/会计师,4000-6000
 南京俊程建设工程有限公司 ,会计, 铁心桥 ,不限,,不限,会计/会计师,3000-5000
